,Date,Open,High,Low,Close,Volume,OpenInt,Weekday,MA10,MA50,Target,UpDown,CrossUpCrossDown
136,2005-09-09,7.3409,7.7116,7.1092,7.6838,13744163,0,Friday,7.592049999999999,6.792172000000001,False,True,0.0
137,2005-09-12,7.7859,7.8785,7.7393,7.832000000000001,4781899,0,Monday,7.645819999999999,6.829992000000002,False,False,0.0
138,2005-09-13,7.7951,7.934,7.7673,7.832000000000001,3997068,0,Tuesday,7.69589,6.870032000000001,False,False,0.0
139,2005-09-14,7.8229,7.9433,7.7951,7.8136,4625003,0,Wednesday,7.739460000000001,6.913038000000001,False,False,0.0
140,2005-09-15,7.73,7.897,7.6189,7.6375,4137473,0,Thursday,7.77096,6.954004000000002,False,False,0.0
141,2005-09-16,7.6189,7.6653,7.5263,7.5634,7674509,0,Friday,7.76169,6.992002000000001,False,True,0.0
142,2005-09-19,7.6838,7.7489,7.5542,7.6375,4377626,0,Monday,7.739439999999999,7.026110000000001,False,False,0.0
143,2005-09-20,7.5726,7.6097,7.1184,7.2204,11792629,0,Tuesday,7.703299999999999,7.0566960000000005,False,False,0.0
144,2005-09-21,7.1741,7.1925,6.8126,6.8311,11850317,0,Wednesday,7.61895,7.078572000000001,False,False,0.0
145,2005-09-22,6.7849,6.9146,6.6642,6.8126,11135575,0,Thursday,7.53091,7.089698000000001,False,True,0.0
146,2005-09-23,6.8126,7.0258,6.7755,6.9423,5092346,0,Friday,7.47808,7.100078000000001,False,False,0.0
147,2005-09-26,6.9423,7.0165,6.8774,6.8961,6320577,0,Monday,7.39372,7.113612000000001,False,True,0.0
148,2005-09-27,6.8867,7.0165,6.8682,6.9515,4727561,0,Tuesday,7.30288,7.126216,False,False,0.0
149,2005-09-28,6.97,7.0721,6.8403,6.8682,3654890,0,Wednesday,7.217590000000001,7.140486000000001,False,True,0.0
150,2005-09-29,6.8497,7.1092,6.7383,7.1,5824165,0,Thursday,7.129560000000001,7.15235,True,True,-1.0
151,2005-09-30,7.1463,7.1554,7.0071,7.1092,4690196,0,Friday,7.082300000000001,7.168478,False,True,0.0
152,2005-10-03,7.0721,7.3317,7.0535,7.1833,9016300,0,Monday,7.021129999999999,7.182379999999998,False,False,0.0
153,2005-10-04,7.1647,7.2204,7.0071,7.0351,5369278,0,Tuesday,6.98034,7.197393999999999,False,False,0.0
154,2005-10-05,6.9886,7.1278,6.7849,6.8682,11216675,0,Wednesday,6.961789999999999,7.2087,False,True,0.0
155,2005-10-06,6.8961,7.0165,6.8311,6.8867,10930453,0,Thursday,6.972909999999999,7.217972,False,False,0.0
156,2005-10-07,6.9146,6.9515,6.7383,6.7941,4942551,0,Friday,6.983109999999999,7.222237999999999,False,False,0.0
157,2005-10-10,6.7941,6.8497,6.6365,6.7013,6295260,0,Monday,6.9682900000000005,7.2278020000000005,False,False,0.0
158,2005-10-11,6.7383,6.7941,6.5808,6.6829,6829251,0,Tuesday,6.953449999999999,7.222052,False,False,0.0
159,2005-10-12,6.7107,6.9331,6.5901,6.6271,12538707,0,Wednesday,6.9275199999999995,7.216124000000001,False,True,0.0
160,2005-10-13,6.6549,6.8682,6.6087,6.8311,7401497,0,Thursday,6.90804,7.207038,False,True,0.0
161,2005-10-14,6.9609,7.276,6.9609,7.1463,13369812,0,Friday,6.8895,7.202406,False,False,0.0
162,2005-10-17,7.1463,7.2017,7.0813,7.1184,6183872,0,Monday,6.896919999999999,7.202224,False,True,0.0
163,2005-10-18,7.1278,7.2389,7.1184,7.2017,4751298,0,Tuesday,6.89323,7.2029700000000005,False,True,0.0
164,2005-10-19,7.1925,7.4058,7.1554,7.3779,6031800,0,Wednesday,6.91362,7.204079999999999,False,False,0.0
165,2005-10-20,7.3502,7.4522,7.1184,7.1833,5061076,0,Thursday,6.959030000000001,7.208344,False,True,0.0
166,2005-10-21,7.2017,7.5263,7.1647,7.3687,5874184,0,Friday,6.9877400000000005,7.213904,False,True,0.0
167,2005-10-24,7.3502,7.6375,7.3502,7.5357,5211283,0,Monday,7.043350000000001,7.223914,False,False,0.0
168,2005-10-25,7.6189,7.6468,7.4058,7.4798,3386449,0,Tuesday,7.131410000000001,7.234481999999999,False,False,0.0
169,2005-10-26,7.4613,7.5542,7.1925,7.1925,3653218,0,Wednesday,7.206469999999999,7.24245,False,False,0.0
170,2005-10-27,7.1741,7.2668,7.0535,7.0629,3489240,0,Thursday,7.25839,7.247269999999999,True,True,1.0
171,2005-10-28,7.1184,7.3502,7.0443,7.2017,6678716,0,Friday,7.27414,7.249308,False,True,0.0
172,2005-10-31,7.1833,7.3131,7.1463,7.3038,5207883,0,Monday,7.277839999999999,7.253385999999999,False,True,0.0
173,2005-11-01,7.2482,7.5263,7.2296,7.5076,9128615,0,Tuesday,7.289879999999999,7.257833999999999,False,True,0.0
174,2005-11-02,7.5263,7.9897,7.4985,7.7859,17857702,0,Wednesday,7.32326,7.269885999999999,False,True,0.0
175,2005-11-03,7.86,8.3419,7.8506,8.0546,15504559,0,Thursday,7.37424,7.285644,False,True,0.0
176,2005-11-04,8.3326,8.3419,7.9248,8.0733,10464511,0,Friday,7.48733,7.305662000000001,False,False,0.0
177,2005-11-07,8.0546,8.1195,7.9804,8.0733,5293954,0,Monday,7.55777,7.321790000000001,False,False,0.0
178,2005-11-08,8.0733,8.0733,7.9063,7.9804,3723824,0,Tuesday,7.60321,7.3373680000000014,False,False,0.0
179,2005-11-09,7.9711,8.0082,7.7951,7.8136,7089367,0,Wednesday,7.65419,7.349046,False,True,0.0
180,2005-11-10,7.8506,7.8785,7.7116,7.8414,3829534,0,Thursday,7.7218399999999985,7.357758000000002,False,False,0.0
181,2005-11-11,7.8414,8.0361,7.7023,7.7393,9355299,0,Friday,7.7941400000000005,7.360354000000001,False,True,0.0
182,2005-11-14,7.757999999999999,7.9897,7.7393,7.9154,5867277,0,Monday,7.851609999999999,7.357388000000001,False,False,0.0
183,2005-11-15,8.3604,8.3604,7.7673,7.7673,6922445,0,Tuesday,7.962829999999999,7.365916000000002,False,True,0.0
184,2005-11-16,7.8785,7.9154,7.6468,7.8229,4714098,0,Wednesday,7.998049999999999,7.363134000000001,False,False,0.0
185,2005-11-17,7.7489,7.832000000000001,7.5263,7.5263,16499677,0,Thursday,7.98694,7.364806000000002,False,False,0.0
186,2005-11-18,7.0629,7.1925,6.9146,7.0351,34268894,0,Friday,7.8599700000000015,7.3592460000000015,False,False,0.0
187,2005-11-21,7.0351,7.1,6.8403,6.8867,19371596,0,Monday,7.75802,7.344230000000001,False,False,0.0
188,2005-11-22,6.6735,6.8311,6.5345,6.7941,16860893,0,Tuesday,7.618039999999999,7.321798000000001,False,True,0.0
189,2005-11-23,6.8774,6.9237,6.7568,6.8311,7489696,0,Wednesday,7.5086699999999995,7.302888000000001,False,False,0.0
190,2005-11-25,6.8311,6.8311,6.6735,6.8218,2119788,0,Friday,7.406720000000002,7.284910000000001,False,False,0.0
191,2005-11-28,6.8403,6.9146,6.5623,6.5808,11274187,0,Monday,7.306610000000001,7.269338,False,False,0.0
192,2005-11-29,6.5623,6.5995,6.3305,6.4047,17311640,0,Tuesday,7.1870400000000005,7.2469079999999995,True,False,-1.0
193,2005-11-30,6.3213,6.3862,6.1545,6.1731,36997754,0,Wednesday,6.98313,7.221881999999999,False,False,0.0
194,2005-12-01,6.2193,6.2286,6.0896,6.1266,22581742,0,Thursday,6.81721,7.202785999999999,False,True,0.0
195,2005-12-02,6.1637,6.2656,6.1359,6.1915,14466423,0,Friday,6.65869,7.190361999999999,False,False,0.0
