,Date,Open,High,Low,Close,Volume,OpenInt,Weekday,MA10,MA50,Target,UpDown
121,1999-08-31,53.148999999999994,53.705,51.976000000000006,53.37,32633095,0,Tuesday,53.0218,51.70704000000001,False,True
122,1999-09-01,53.707,54.213,53.372,53.756,24047290,0,Wednesday,53.194299999999984,51.77282000000001,False,True
123,1999-09-02,52.761,53.851000000000006,52.648,53.57,32616310,0,Thursday,53.35359999999999,51.84410000000002,False,False
124,1999-09-03,55.107,56.05,54.91,56.028,31749085,0,Friday,53.7564,51.94742000000001,False,True
125,1999-09-07,55.92100000000001,56.481,55.7,55.783,20147347,0,Tuesday,54.11709999999999,52.07986000000001,False,False
126,1999-09-08,55.43899999999999,55.998000000000005,54.571999999999996,55.019,31991833,0,Wednesday,54.3513,52.202200000000005,False,False
127,1999-09-09,55.04600000000001,55.94,54.77,55.8,28355707,0,Thursday,54.436899999999994,52.302699999999994,False,True
128,1999-09-10,56.56399999999999,57.0,55.919,56.452,22925646,0,Friday,54.594100000000005,52.41798,False,True
129,1999-09-13,56.394,56.50899999999999,55.474,55.773,16193158,0,Monday,54.78530000000001,52.5119,False,False
130,1999-09-14,55.552,56.468999999999994,55.43899999999999,56.075,22417132,0,Tuesday,54.964,52.58548,False,True
131,1999-09-15,56.778999999999996,56.778999999999996,54.942,54.998999999999995,35996042,0,Wednesday,55.32700000000001,52.664719999999996,False,False
132,1999-09-16,54.971000000000004,55.474,53.832,54.971000000000004,34375597,0,Thursday,55.4534,52.72064,False,False
133,1999-09-17,55.467,56.722,55.382,56.613,32445578,0,Friday,55.724000000000004,52.78419999999999,False,True
134,1999-09-20,56.788000000000004,57.012,56.368,56.751999999999995,13836780,0,Monday,55.892100000000006,52.85639999999999,False,True
135,1999-09-21,56.254,56.365,55.23,55.386,27431801,0,Tuesday,55.9254,52.90723999999998,False,False
136,1999-09-22,55.466,56.25899999999999,54.795,55.971000000000004,27828454,0,Wednesday,55.92810000000001,52.95687999999999,False,True
137,1999-09-23,56.56,56.67,53.326,53.652,44208125,0,Thursday,56.07950000000001,53.017699999999984,False,False
138,1999-09-24,53.32,53.93600000000001,52.426,53.728,52714081,0,Friday,55.75509999999999,53.00259999999999,False,True
139,1999-09-27,54.493,54.888000000000005,53.937,54.106,28197855,0,Monday,55.565,53.00417999999998,False,True
140,1999-09-28,53.827,54.54600000000001,52.673,54.352,46122913,0,Tuesday,55.3925,52.978619999999985,False,True
141,1999-09-29,54.35,54.744,53.258,53.258,34795842,0,Wednesday,55.1496,52.99231999999998,False,False
142,1999-09-30,53.769,54.383,53.1,53.821999999999996,39370064,0,Thursday,55.02940000000001,53.02093999999998,False,True
143,1999-10-01,53.096000000000004,53.842,52.535,53.842,43852883,0,Friday,54.7923,53.03323999999997,False,True
144,1999-10-04,54.126000000000005,55.244,53.817,55.048,27810341,0,Monday,54.5261,53.08509999999998,False,True
145,1999-10-05,55.247,56.11600000000001,54.269,55.443000000000005,43671004,0,Tuesday,54.4254,53.179479999999984,False,True
146,1999-10-06,55.782,56.64,54.93600000000001,56.555,42711196,0,Wednesday,54.456999999999994,53.27576,False,True
147,1999-10-07,56.871,57.143,56.001999999999995,56.423,49233133,0,Thursday,54.488099999999996,53.38154,False,False
148,1999-10-08,56.199,57.173,55.442,57.016000000000005,50373863,0,Friday,54.77600000000001,53.48544000000001,False,True
149,1999-10-11,57.173,57.849,57.034,57.818000000000005,29110478,0,Monday,55.044000000000004,53.607220000000005,False,True
150,1999-10-12,57.621,58.081,56.332,56.501000000000005,45142659,0,Tuesday,55.4234,53.74580000000001,False,False
151,1999-10-13,55.869,56.54,54.607,54.83,50475103,0,Wednesday,55.575300000000006,53.84000000000001,False,False
152,1999-10-14,55.022,55.555,54.126999999999995,55.17100000000001,49495298,0,Thursday,55.700599999999994,53.93756000000001,False,True
153,1999-10-15,53.763000000000005,54.545,53.214,53.542,75381054,0,Friday,55.7673,54.028060000000025,False,False
154,1999-10-18,53.595,53.792,51.341,52.861999999999995,55276470,0,Monday,55.71419999999999,54.106800000000014,False,False
155,1999-10-19,53.445,53.711999999999996,52.26,53.156000000000006,59614170,0,Tuesday,55.53399999999999,54.18256000000001,False,True
156,1999-10-20,53.967,55.214,53.433,54.773999999999994,50289438,0,Wednesday,55.352500000000006,54.28764000000002,False,True
157,1999-10-21,53.883,55.67,53.489,55.67,50218108,0,Thursday,55.05369999999999,54.38002,False,True
158,1999-10-22,55.992,56.56,55.218,55.415,37103333,0,Friday,55.032999999999994,54.4961,False,False
159,1999-10-25,55.163000000000004,56.052,54.938,55.443000000000005,30987752,0,Monday,54.831999999999994,54.59048,False,True
160,1999-10-26,56.12,56.427,54.888000000000005,54.998999999999995,30285339,0,Tuesday,54.6819,54.68226,True,False
161,1999-10-27,54.861999999999995,55.113,54.056999999999995,54.915,34048539,0,Wednesday,54.5812,54.73098,False,False
162,1999-10-28,55.777,57.005,55.271,56.809,31544485,0,Thursday,54.6567,54.80688,False,True
163,1999-10-29,58.125,59.245,57.933,58.797,42493348,0,Friday,55.0929,54.94601999999999,True,True
164,1999-11-01,58.794,59.493,58.41,58.486000000000004,21654148,0,Monday,55.61280000000001,55.10031999999998,False,False
165,1999-11-02,58.79600000000001,59.526,58.302,58.523999999999994,28705157,0,Tuesday,56.14790000000001,55.229959999999984,False,True
166,1999-11-03,59.357,60.027,59.192,59.692,41939509,0,Wednesday,56.6869,55.35515999999998,False,True
167,1999-11-04,60.523,60.641999999999996,59.716,60.361000000000004,44839305,0,Thursday,57.35089999999999,55.48181999999998,False,True
168,1999-11-05,61.597,61.905,60.98,60.98,33846347,0,Friday,57.9114,55.61391999999997,False,True
169,1999-11-08,61.20399999999999,62.422,61.003,62.207,24357631,0,Monday,58.515499999999996,55.74835999999998,False,True
170,1999-11-09,62.70399999999999,62.816,61.254,61.783,32721965,0,Tuesday,59.17389999999999,55.92713999999997,False,False
171,1999-11-10,61.812,63.123999999999995,61.534,62.593999999999994,37040831,0,Wednesday,59.86890000000001,56.10039999999998,False,True
172,1999-11-11,63.271,63.801,62.708999999999996,63.717,41378604,0,Thursday,60.6183,56.29167999999998,False,True
173,1999-11-12,64.048,64.607,62.036,64.556,64070564,0,Friday,61.2106,56.51741999999999,False,True
174,1999-11-15,64.605,64.829,64.104,64.421,24400647,0,Monday,61.79170000000001,56.707379999999986,False,False
175,1999-11-17,66.059,66.344,64.831,65.165,48497344,0,Wednesday,62.517999999999994,56.910139999999984,False,True
176,1999-11-18,65.613,67.163,65.22399999999999,67.163,39674309,0,Thursday,63.143600000000006,57.11361999999999,False,True
177,1999-11-19,66.872,67.877,66.624,67.765,40121601,0,Friday,63.778499999999994,57.35013999999998,False,True
178,1999-11-22,67.906,69.301,66.727,66.727,42142013,0,Monday,64.40939999999999,57.576979999999985,False,False
179,1999-11-23,68.354,68.41,66.396,67.038,53783501,0,Tuesday,65.1244,57.816179999999996,False,True
180,1999-11-24,67.243,69.524,66.542,69.256,41636391,0,Wednesday,65.5783,58.05,False,True
181,1999-11-26,70.11,70.446,69.191,69.471,17993870,0,Friday,66.4081,58.31661999999999,False,True
182,1999-11-29,69.329,69.917,68.241,68.321,45817352,0,Monday,67.0139,58.603779999999986,False,False
183,1999-11-30,68.475,68.586,65.732,65.732,53007428,0,Tuesday,67.45660000000001,58.86393999999999,False,False
184,1999-12-01,66.455,67.48899999999999,65.952,67.154,51899797,0,Wednesday,67.6416,59.05727999999999,False,True
185,1999-12-02,67.405,69.417,67.366,69.283,38532648,0,Thursday,67.77619999999999,59.280300000000004,False,True
186,1999-12-03,70.92399999999999,71.706,70.557,70.752,47964237,0,Friday,68.3073,59.58945999999999,False,True
187,1999-12-06,71.031,71.987,70.368,71.402,35824548,0,Monday,68.72319999999999,59.87887999999999,False,True
188,1999-12-07,71.627,71.904,70.501,71.402,52326509,0,Tuesday,69.0953,60.24502,False,False
189,1999-12-08,71.422,71.979,70.368,70.536,43751486,0,Wednesday,69.40209999999999,60.58359999999999,False,False
190,1999-12-09,71.53399999999999,71.929,69.07600000000001,70.866,63621479,0,Thursday,69.8312,60.937739999999984,False,True
191,1999-12-10,71.46,71.714,69.868,71.46,45685511,0,Friday,69.96619999999999,61.27994,False,True
192,1999-12-13,71.218,72.738,70.90100000000001,72.431,36249782,0,Monday,70.1551,61.62892000000001,False,True
193,1999-12-14,72.211,72.632,70.645,71.119,62085462,0,Tuesday,70.5287,62.01122000000001,False,False
194,1999-12-15,70.313,72.495,69.7,72.495,71111433,0,Wednesday,70.9145,62.33496000000001,False,True
195,1999-12-16,73.436,74.442,73.09899999999999,74.27600000000001,60880608,0,Thursday,71.51759999999999,62.69873999999999,False,True
196,1999-12-17,75.562,75.89699999999999,74.60300000000001,74.918,53437921,0,Friday,71.98139999999998,63.09433999999998,False,True
197,1999-12-20,75.476,76.234,74.836,75.89699999999999,34425571,0,Monday,72.4259,63.46643999999999,False,True
198,1999-12-21,76.126,79.986,75.693,79.986,58154953,0,Tuesday,72.8758,63.864979999999996,False,True
199,1999-12-22,79.762,79.875,78.196,79.73100000000001,49901865,0,Wednesday,73.7098,64.31675999999999,False,False
200,1999-12-23,80.366,81.155,79.59100000000001,80.684,39234730,0,Thursday,74.593,64.77166,False,True
201,1999-12-27,80.762,80.789,78.605,80.203,43125558,0,Monday,75.5232,65.26952,False,False
202,1999-12-28,80.264,80.932,79.203,79.702,34321120,0,Tuesday,76.4278,65.77436,False,False
203,1999-12-29,80.48100000000001,82.71799999999999,80.37100000000001,82.71799999999999,36930777,0,Wednesday,77.2548,66.30872000000001,False,True
204,1999-12-30,83.72200000000001,83.835,81.822,81.822,48951194,0,Thursday,78.59570000000001,66.91126000000003,False,False
205,1999-12-31,82.829,83.334,81.71,81.71,32350741,0,Friday,79.535,67.49893999999999,False,False
206,2000-01-03,86.02,86.02,81.155,84.73299999999999,81282898,0,Monday,80.58080000000001,68.14,False,True
207,2000-01-04,82.274,83.616,78.64399999999999,78.919,75560787,0,Tuesday,81.2606,68.70782000000001,False,False
208,2000-01-05,78.245,80.146,75.337,76.905,95044858,0,Wednesday,81.4725,69.15288000000001,False,False
209,2000-01-06,77.693,78.69800000000001,71.322,71.62899999999999,83047638,0,Thursday,81.26559999999999,69.60347999999999,False,False
210,2000-01-07,74.171,80.483,73.777,80.483,62929486,0,Friday,80.6461,69.9645,False,True
211,2000-01-10,81.377,84.006,80.428,82.71799999999999,66370106,0,Monday,80.70759999999999,70.4948,False,True
212,2000-01-11,82.05,83.054,77.8,78.695,72789977,0,Tuesday,80.8862,71.02026000000001,False,False
213,2000-01-12,79.585,79.801,76.904,76.961,64972504,0,Wednesday,80.79659999999998,71.44946,False,False
214,2000-01-13,79.138,81.82,77.868,81.596,56284783,0,Thursday,80.3382,71.85634,False,True
215,2000-01-14,83.164,83.72200000000001,82.26899999999999,83.5,48976978,0,Friday,80.3717,72.34370000000001,False,True
216,2000-01-18,82.334,84.458,81.774,83.95100000000001,37465049,0,Tuesday,80.0031,72.80324,False,True
217,2000-01-19,83.6,85.845,82.65299999999999,85.845,42508328,0,Wednesday,80.1357,73.26478000000002,False,True
218,2000-01-20,85.405,86.635,84.073,85.015,58052187,0,Thursday,80.8517,73.74094,False,False
219,2000-01-21,86.296,86.352,85.01100000000001,86.072,41818668,0,Friday,81.712,74.24277999999998,False,True
220,2000-01-24,87.137,87.3,81.35,81.935,63383508,0,Monday,83.00859999999999,74.73143999999999,False,False
221,2000-01-25,82.15299999999999,84.15700000000001,79.946,83.16,74426797,0,Tuesday,83.0862,75.13825999999999,False,True
222,2000-01-26,83.39399999999999,83.45100000000001,79.592,79.817,51650832,0,Wednesday,83.2206,75.54071999999998,False,False
223,2000-01-27,82.046,82.714,78.355,80.985,68751523,0,Thursday,83.4667,75.90068,False,True
224,2000-01-28,80.48100000000001,80.90100000000001,75.78699999999999,76.905,78980319,0,Friday,83.601,76.2182,False,False
225,2000-01-31,76.79,80.47800000000001,74.667,80.203,80550041,0,Monday,82.9636,76.43281999999999,False,True
226,2000-02-01,80.066,82.721,79.092,82.361,59080531,0,Tuesday,82.7368,76.72188,False,True
227,2000-02-02,82.49799999999999,84.70700000000001,82.361,83.057,58525273,0,Wednesday,82.62660000000001,77.0344,False,True
228,2000-02-03,84.34299999999999,86.40899999999999,82.523,86.29899999999999,68389943,0,Thursday,82.5204,77.36314000000002,False,True
229,2000-02-04,86.745,87.852,86.045,86.882,59579939,0,Friday,82.56530000000001,77.73096000000002,False,True
230,2000-02-07,86.97,88.2,86.07600000000001,88.089,39720783,0,Monday,82.54860000000001,78.12550000000003,False,True
231,2000-02-08,88.866,91.995,88.866,91.771,49202396,0,Tuesday,83.2199,78.50062000000003,False,True
232,2000-02-09,91.271,91.389,88.307,88.531,60963363,0,Wednesday,84.0076,78.93946000000001,False,False
233,2000-02-10,89.26299999999999,91.444,88.13799999999999,91.444,58910263,0,Thursday,84.7293,79.35522000000002,False,True
234,2000-02-11,91.271,91.271,87.635,89.31299999999999,55635856,0,Friday,85.80829999999999,79.85154000000003,False,False
235,2000-02-14,89.415,89.42399999999999,87.412,89.197,51026209,0,Monday,87.0708,80.29174000000002,False,False
236,2000-02-15,88.48299999999999,89.988,85.742,89.85,68373153,0,Tuesday,87.9125,80.64292000000002,False,True
237,2000-02-16,89.34,90.936,88.81299999999999,89.427,56607044,0,Wednesday,88.5967,81.00910000000002,False,False
238,2000-02-17,90.492,92.335,89.094,91.32799999999999,67272185,0,Thursday,89.2116,81.38640000000002,False,True
239,2000-02-18,91.773,92.109,88.031,88.031,56518472,0,Friday,89.7144,81.79342000000003,False,False
240,2000-02-22,88.529,89.369,86.069,88.305,83259344,0,Tuesday,89.8703,82.13332000000003,False,True
241,2000-02-23,89.137,93.89299999999999,88.666,93.221,71952834,0,Wednesday,89.89739999999998,82.48686000000004,False,True
242,2000-02-24,93.787,95.512,91.213,95.23700000000001,109293299,0,Thursday,90.14899999999999,82.93824000000004,False,True
243,2000-02-25,94.96,96.135,92.89200000000001,93.06299999999999,72948013,0,Friday,90.71869999999998,83.39322000000004,False,False
244,2000-02-28,92.335,94.51700000000001,89.876,93.005,85467594,0,Monday,90.82509999999999,83.83366000000002,False,False
245,2000-02-29,94.57,95.774,93.848,95.465,53626498,0,Tuesday,91.3406,84.25634000000002,False,True
